Benchmark,Implementation,Threads,Time,Memory
read,mutex,2,453,19176
read,mutex,4,329,19170
read,mutex,6,354.25,19172
read,mutex,8,390.5,19204
read,mutex,10,390.75,19205
read,mutex,12,394.25,19228
read,mutex,14,394.25,19234
read,mutex,16,395.25,19235
read,spin,2,382,19159
read,spin,4,215.25,19175
read,spin,6,190,19145
read,spin,8,183,19208
read,spin,10,187.75,19202
read,spin,12,194.5,19202
read,spin,14,223,19192
read,spin,16,203,19231
read,lockfree,2,515.5,68296
read,lockfree,4,419.75,68295
read,lockfree,6,397.5,68586
read,lockfree,8,385,69707
read,lockfree,10,445.75,79998
read,lockfree,12,454,83003
read,lockfree,14,456.75,84556
read,lockfree,16,445.75,86216
read,crossbeam,2,465.5,36632
read,crossbeam,4,378.75,36699
read,crossbeam,6,377.5,36650
read,crossbeam,8,376.75,36635
read,crossbeam,10,376.5,36744
read,crossbeam,12,377,36758
read,crossbeam,14,377,36762
read,crossbeam,16,376.75,36757
read,dirty,2,440,68306
read,dirty,4,271.75,68212
read,dirty,6,250.25,68332
read,dirty,8,249.25,68330
read,dirty,10,248.25,68386
read,dirty,12,247.75,68424
read,dirty,14,248.5,68444
read,dirty,16,246.25,68478
read,epoch,2,503.25,68371
read,epoch,4,326.5,68452
read,epoch,6,297.75,68577
read,epoch,8,287.5,68660
read,epoch,10,415.75,80119
read,epoch,12,400.75,83521
read,epoch,14,405.5,84391
read,epoch,16,417.5,83233
write,mutex,2,388.75,2850
write,mutex,4,203.25,2815
write,mutex,6,191,2856
write,mutex,8,191.5,2894
write,mutex,10,159.25,2906
write,mutex,12,158.75,2966
write,mutex,14,149.25,3553
write,mutex,16,155.75,4163
write,spin,2,380,2848
write,spin,4,204.75,2821
write,spin,6,179.5,2837
write,spin,8,184.5,2849
write,spin,10,169.5,2902
write,spin,12,153.75,2948
write,spin,14,144.5,3800
write,spin,16,193.5,4176
write,lockfree,2,390,7618
write,lockfree,4,205.25,7655
write,lockfree,6,188,7660
write,lockfree,8,194,7699
write,lockfree,10,184,7712
write,lockfree,12,191.75,7833
write,lockfree,14,151,7751
write,lockfree,16,183.75,7802
write,crossbeam,2,386,4145
write,crossbeam,4,218.5,4821
write,crossbeam,6,189.5,5108
write,crossbeam,8,190.5,5083
write,crossbeam,10,165.5,5317
write,crossbeam,12,158.75,5364
write,crossbeam,14,148,5444
write,crossbeam,16,158,5462
write,dirty,2,388.25,7609
write,dirty,4,204,7626
write,dirty,6,188.25,7690
write,dirty,8,183.75,7692
write,dirty,10,176.5,7710
write,dirty,12,181.75,7767
write,dirty,14,146.5,7744
write,dirty,16,177.25,7787
write,epoch,2,394,7662
write,epoch,4,202.25,7757
write,epoch,6,192,7754
write,epoch,8,192.5,7815
write,epoch,10,178.25,7844
write,epoch,12,190,7935
write,epoch,14,154.75,7874
write,epoch,16,192,8063
mixed,mutex,2,776.75,17463
mixed,mutex,4,545.25,14529
mixed,mutex,6,554,14358
mixed,mutex,8,606,10733
mixed,mutex,10,612.5,9410
mixed,mutex,12,606,9452
mixed,mutex,14,624.75,9518
mixed,mutex,16,618.25,11153
mixed,spin,2,709.5,17622
mixed,spin,4,449.75,17588
mixed,spin,6,475,16597
mixed,spin,8,357.5,17425
mixed,spin,10,426.5,14963
mixed,spin,12,465,17617
mixed,spin,14,491.75,17551
mixed,spin,16,508.25,16649
mixed,lockfree,2,809.25,53355
mixed,lockfree,4,541.25,54910
mixed,lockfree,6,440.75,54560
mixed,lockfree,8,398.5,51732
mixed,lockfree,10,373.75,49349
mixed,lockfree,12,385.75,42244
mixed,lockfree,14,371.75,55552
mixed,lockfree,16,374.25,58730
mixed,crossbeam,2,709.75,32089
mixed,crossbeam,4,665.25,27323
mixed,crossbeam,6,400,28699
mixed,crossbeam,8,368.75,28232
mixed,crossbeam,10,338.75,29958
mixed,crossbeam,12,303.75,28891
mixed,crossbeam,14,353.5,30919
mixed,crossbeam,16,320.25,31519
mixed,dirty,2,782.75,68256
mixed,dirty,4,508.25,68324
mixed,dirty,6,422.25,68388
mixed,dirty,8,371.5,68383
mixed,dirty,10,385.75,68386
mixed,dirty,12,430,68437
mixed,dirty,14,490.75,68419
mixed,dirty,16,553.75,68442
mixed,epoch,2,793.75,51693
mixed,epoch,4,543,47928
mixed,epoch,6,413.75,36811
mixed,epoch,8,393,30744
mixed,epoch,10,395.25,34615
mixed,epoch,12,401,30683
mixed,epoch,14,386.25,27035
mixed,epoch,16,418.25,27107
mem,mutex,2,746.5,66655
mem,mutex,4,1206.25,9024
mem,mutex,6,1624.5,15537
mem,mutex,8,2023.5,9467
mem,mutex,10,2037,8407
mem,mutex,12,2044.25,9071
mem,mutex,14,2067.5,5811
mem,mutex,16,2059,6069
mem,spin,2,239.25,66639
mem,spin,4,539.25,45409
mem,spin,6,885.5,17600
mem,spin,8,925.25,23728
mem,spin,10,1125,20914
mem,spin,12,1325.75,17652
mem,spin,14,1508.5,16079
mem,spin,16,1957.75,17291
mem,lockfree,2,1283.75,66446
mem,lockfree,4,1529.5,179608
mem,lockfree,6,1273.5,166269
mem,lockfree,8,1332.5,180555
mem,lockfree,10,1358.5,169934
mem,lockfree,12,1404.5,194599
mem,lockfree,14,1491.5,280566
mem,lockfree,16,1512.25,288904
mem,crossbeam,2,219.5,17486
mem,crossbeam,4,202.5,13259
mem,crossbeam,6,196.5,10116
mem,crossbeam,8,189.25,7829
mem,crossbeam,10,191.75,5573
mem,crossbeam,12,189.75,5315
mem,crossbeam,14,186,5080
mem,crossbeam,16,184.75,7658
mem,dirty,2,589.5,264887
mem,dirty,4,1198.25,264880
mem,dirty,6,1257.5,264917
mem,dirty,8,1429.75,264883
mem,dirty,10,1459.75,265042
mem,dirty,12,1776.5,265018
mem,dirty,14,1848.5,265074
mem,dirty,16,1956.5,265044
mem,epoch,2,1022.5,53351
mem,epoch,4,1205.75,37537
mem,epoch,6,1205.5,32247
mem,epoch,8,1262.25,32457
mem,epoch,10,1324,51719
mem,epoch,12,1363.25,45470
mem,epoch,14,1367.5,47915
mem,epoch,16,1486,54270
