Benchmark,Implementation,Threads,Time,Memory
read,mutex,2,449.5,19146
read,mutex,4,326.25,19183
read,mutex,6,353.25,19139
read,mutex,8,387.75,19183
read,mutex,10,388.75,19209
read,mutex,12,389.75,19215
read,mutex,14,392.75,19190
read,mutex,16,392.5,19193
read,spin,2,378.75,19179
read,spin,4,213.75,19194
read,spin,6,188,19176
read,spin,8,180,19182
read,spin,10,192.5,19206
read,spin,12,210.25,19197
read,spin,14,196.25,19237
read,spin,16,222.5,19226
read,lockfree,2,517.25,68275
read,lockfree,4,421.5,68309
read,lockfree,6,397.75,68610
read,lockfree,8,384.5,69715
read,lockfree,10,439,80534
read,lockfree,12,469.5,83762
read,lockfree,14,429.25,85453
read,lockfree,16,429,85986
read,crossbeam,2,466.25,36545
read,crossbeam,4,379.25,36625
read,crossbeam,6,376.75,36617
read,crossbeam,8,376,36683
read,crossbeam,10,377.25,36665
read,crossbeam,12,376.5,36689
read,crossbeam,14,376.75,36730
read,crossbeam,16,376,36785
read,dirty,2,440,68290
read,dirty,4,273.25,68318
read,dirty,6,249,68349
read,dirty,8,245.75,68338
read,dirty,10,251.5,68393
read,dirty,12,248.75,68404
read,dirty,14,250,68411
read,dirty,16,249,68486
read,epoch,2,502,68357
read,epoch,4,326.75,68449
read,epoch,6,296,68551
read,epoch,8,284,68614
read,epoch,10,416.75,80233
read,epoch,12,414.75,81934
read,epoch,14,414.25,84024
read,epoch,16,408.25,84104
write,mutex,2,341.75,2788
write,mutex,4,184,2841
write,mutex,6,166,2869
write,mutex,8,165,2918
write,mutex,10,143,2911
write,mutex,12,135,2934
write,mutex,14,129,4150
write,mutex,16,134.25,4216
write,spin,2,333.75,2838
write,spin,4,189.25,2846
write,spin,6,156.75,2891
write,spin,8,158.25,2910
write,spin,10,154,2941
write,spin,12,144.25,2966
write,spin,14,124.5,4164
write,spin,16,166.25,4203
write,lockfree,2,342,7612
write,lockfree,4,183.75,7675
write,lockfree,6,163.5,7682
write,lockfree,8,164.75,7714
write,lockfree,10,154.75,7778
write,lockfree,12,161.5,7794
write,lockfree,14,130.75,7776
write,lockfree,16,155,7814
write,crossbeam,2,338,4093
write,crossbeam,4,182.75,4794
write,crossbeam,6,163.75,5084
write,crossbeam,8,162.25,5104
write,crossbeam,10,145.5,5291
write,crossbeam,12,141.25,5378
write,crossbeam,14,127.5,5402
write,crossbeam,16,136,5452
write,dirty,2,340.5,7598
write,dirty,4,175.25,7656
write,dirty,6,158.25,7650
write,dirty,8,161,7673
write,dirty,10,152.25,7728
write,dirty,12,156.5,7793
write,dirty,14,125.5,7749
write,dirty,16,156.5,7805
write,epoch,2,346,7689
write,epoch,4,183.25,7741
write,epoch,6,167,7733
write,epoch,8,165.5,7798
write,epoch,10,150.75,7848
write,epoch,12,150.75,7915
write,epoch,14,132,7926
write,epoch,16,167.25,7995
mixed,mutex,2,857.5,17461
mixed,mutex,4,584.25,15757
mixed,mutex,6,574.25,16536
mixed,mutex,8,601.5,12245
mixed,mutex,10,619.75,12897
mixed,mutex,12,609.75,9438
mixed,mutex,14,621.75,9510
mixed,mutex,16,615,11197
mixed,spin,2,791.25,17580
mixed,spin,4,583.5,17547
mixed,spin,6,480.25,17253
mixed,spin,8,391.25,15934
mixed,spin,10,478,15984
mixed,spin,12,404,16464
mixed,spin,14,509.25,17632
mixed,spin,16,533.75,18865
mixed,lockfree,2,893.75,54347
mixed,lockfree,4,576.75,55413
mixed,lockfree,6,472.25,56068
mixed,lockfree,8,411.25,52717
mixed,lockfree,10,382,49896
mixed,lockfree,12,411.25,45867
mixed,lockfree,14,383,53898
mixed,lockfree,16,395.5,60702
mixed,crossbeam,2,797.75,32347
mixed,crossbeam,4,694.75,28067
mixed,crossbeam,6,411,29202
mixed,crossbeam,8,371.75,28518
mixed,crossbeam,10,350.75,30323
mixed,crossbeam,12,383.75,28773
mixed,crossbeam,14,361.25,31402
mixed,crossbeam,16,348.75,31547
mixed,dirty,2,847.5,68258
mixed,dirty,4,543.5,68325
mixed,dirty,6,426.75,68352
